"","Taxon","Group","Difference","P_value"
"164","k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__;g__","Control_days_0_to_7","NaN","NaN"
"165","k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__","Control_days_0_to_7","NaN","NaN"
"166","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other","Control_days_0_to_7","NaN","NaN"
"167","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__","Control_days_0_to_7","142.670157068063","0.526243655295742"
"168","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;Other","Control_days_0_to_7","NaN","NaN"
"169","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__","Control_days_0_to_7","NaN","NaN"
"170","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus","Control_days_0_to_7","NaN","NaN"
"171","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Alloiococcus","Control_days_0_to_7","NaN","NaN"
"172","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia","Control_days_0_to_7","NaN","NaN"
"173","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;Other","Control_days_0_to_7","NaN","NaN"
"174","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
"175","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium","Control_days_0_to_7","NaN","NaN"
"176","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella","Control_days_0_to_7","NaN","NaN"
"177","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus","Control_days_0_to_7","NaN","NaN"
"178","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other","Control_days_0_to_7","NaN","NaN"
"179","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__","Control_days_0_to_7","NaN","NaN"
